0,1
0,"In our daydreams, we see this piece on a sandy beach with a cocktail in hand. The perfect airy piece to throw over your swimsuit, simply style it with sandals and some oversized sunnies. Designed in a light linen-blend."
1,"Feel the soft sea breeze when you wear this Bardot dress on the beach. Featuring a frill off-shoulder cut, this dress is designed in breathable cotton with an all-over schiffly pattern giving a beachy, bohemian look."
2,"Adorned with delicate paisley embroidery and tassel detail, this dress is just perfect for those late summer evenings. From garden parties to late night walks on the beach, you'll be equipped and comfortable for that dusky summer breeze."
3,"When you are looking for something classic with a touch of sparkle, our floor-sweeping chiffon gown is the perfect one for you to take to your special occasions and events. Exquisitely hand-beaded bodice tops the flowing skirt with gently pleating for added fullness. All the details: Sheer illusion v-neckline and long sleeves. Back zip closure."
4,"Fierce and fabulous, this tuxedo-style dress is a stellar option for your next formal event. This special occasion dress is stylish to the max, featuring a long sleeve, plunging neckline with a halter, tuxedo-style bodice complete with contrasting satin lapel and button detail. A long, mermaid skirt with sexy, thigh-high slit is bound to turn heads, no matter where you go. Rock this exquisite evening dress with sparkling earrings, a bold, red lip, and patent leather accessories for a sophisticated look guaranteed to shine."
5,None
6,"Heads will turn when entering a ball or black tie event in this Adrianna Papell gown. The simply stunning diamante detailing will sparkle and shine all evening. Featuring a cape overlay and mesh skirt, this dress just needs silver heels to complete your look."
7,"A modern, ultra-chic floor-length gown by Adrianna Papell which is inspired by the iconic tuxedo dress. This gown has been designed with elegant long sleeves, in a soft silhouette that skims the figure beautifully. This is a wear-everywhere, wear-forever gown and a go-to for so many evening events, including black tie dinners, or a more formal wedding occasion."
8,"We cannot stop falling in love with this color of blueclassic and unexpected, elegant and so modern. And then there is the dress, designed in an effortless sheath silhouette and accented with a chic, hand-beaded silver pattern. It's ready for cocktail hour."
9,None
10,"A polished look that gets its inspiration from a menswear-inspired style. Our floor-sweeping gown in a soft stretch velvet knit fabric features a satiny charmeuse shawl collar and a flattering twist-front design for textural interest. All the details: modern long sleeves with charmeuse cuffs, flattering surplice neckline and sleek back zip closure. Get ready to be best dressed guest at wedding receptions and black-tie galas."
11,"Make your next special event even more fabulous with this stunning special occasion dress from Adrianna Papell made from elegant chiffon and beautifully embossed with velvet and sequins. Fitted to the waistband with a long flowing skirt that falls to the ankle, the off the shoulder neckline with the puff sleeves would look stunning with a statement necklace. A fabulous dress for those glamorous events."
12,"Defining your waist with its tulip shape, this midi dress from Adrianna Papell is printed with fresh florals throughout. With a halter neckline and sleeveless, is ideal for evening soirees and special events. AP1D104608"
13,"The enchantment of emerald. Our covered velvet gown, with its simple, chic silhouette and stunning fall color, takes on a feminine twist with elbow sleeves, a gathered front and ultra-flattering asymmetrical hem. It's a dress that truly goes absolutely anywhere  gorgeous on its own or with simple, delicate fine jewelry."
14,"Eye-catching and celebratory, our floor-grazing halter gown will turn heads thanks to the dazzling handsewn beadwork that shimmers allover the mesh overlay. A satin tie-back halter neckline shapes this glamorous dress. The long skirt is eased with gentle pleats at the hemline for ease of movement. Sleek back zip closure. Be best dressed guest at your next wedding reception or black-tie gala."
15,"Elegant and effortlessly trendy, this cape cocktail dress will keep you looking fabulous all day and night. This chic cocktail dress features a fitted silhouette, a fashion-forward cape, and a subtle back zip closure, creating a striking look for your next party. Crafted from crepe fabric, this party dress is extremely comfortable. Pair this gorgeous cape dress with a bold, red lip and sparkling earrings for a one-of-a-kind look designed to stand out."
16,"Elegant and effortless, this stunning short sleeve evening dress is a gorgeous option for your next special event. This sleek dress features a boat neckline trimmed in beading, a flowing straight skirt, and scalloped art deco beading to dazzle the eye. The back of this beautiful beaded evening dress features a zipper closure. Wear this special event dress with metallic heels and minimal jewelry to let its eye-catching details really shine."
17,"This stylish evening dress by Adrianna Papell, with a sleeveless style and halter neck the bodice is shaped with a loose blouson top, ensuring comfort throughout your evening. The floral beaded design flowing down to a full length waterfall hem makes this an ideal choice for a black tie event."
18,"Elegant and so feminine, our crepe gown designed with a feather-light chiffon overlay and soft, cascading skirt. Details We Love: the chic empire waistband and delicate flutter sleeves. This dress is perfect for complimenting your bridal party, from mother of the bride or groom to your bridesmaids."
19,"Timeless and glamorous, our floor-sweeping gown is crafted of a stretch jersey knit for a luxuriously soft look and feel. We love the figure-flatting twisted front and modern elbow sleeves with dramatic bell cuffs made of taffeta. All the details: flattering v-neckline and sleek back zip closure. Calling all mothers-of-the-bride, you'll be a standout in your dress too."
